# The energy threshold above which the kinetic energy of a charged particle should be to take part in the electrical field calculations is 0.1 MeV
# time (ns)	electric field (V/m)
# Antenna 0 at (0m, -90m, 10m) (Geant4 coordinates)
547 (1.83071104518054e-10,-2.39541635289496e-12,-1.914693686937e-11)
547.2 (-1.16744734858336e-11,1.14775353682247e-11,1.30681945571222e-10)
547.4 (6.31384430262771e-11,-5.36181092789571e-12,-6.53715384486118e-11)
547.6 (4.65181146460062e-11,-5.98803695842242e-12,-5.91217117276372e-11)
547.8 (-1.21495653849525e-10,-5.93954144866015e-14,-1.03201646737496e-11)
548 (9.16143053611051e-11,-1.15243838309466e-11,-1.23112877739668e-10)
548.2 (-1.68749472927986e-10,1.32185828154701e-11,1.43226526805004e-10)
548.4 (1.15510633949625e-10,5.01405457183415e-12,5.62369159726596e-11)
548.6 (6.04968183126166e-11,-9.75967239776371e-12,-1.04525999112604e-10)
548.8 (-1.30563646458366e-10,3.7991001848603e-12,3.16362453890643e-11)
549 (1.22017607198953e-10,6.12740877116e-13,4.41735398372879e-12)
549.2 (-1.33513633222778e-10,7.88451651463996e-12,8.36419563150423e-11)
549.4 (-3.53572798446295e-12,1.38970113018314e-12,9.53103995918571e-12)
549.6 (3.88985803442985e-11,-1.18583864651448e-11,-1.26235599223668e-10)
549.8 (9.17272411660793e-11,3.72112511572019e-12,3.91084135563389e-11)
550 (-9.58364436431624e-11,1.36036700279735e-11,1.42799192663602e-10)
550.2 (-8.43625635172963e-11,-2.51388531212717e-12,-3.03510016935161e-11)
550.4 (1.75187910928812e-10,-3.21619414013692e-12,-2.51814158470472e-11)
550.6 (-9.06493513440384e-11,7.30494873329799e-12,7.6428364685665e-11)
550.8 (-8.74737381970598e-11,-2.20018927951026e-12,-3.88245732135773e-11)
551 (8.14452904596538e-11,1.28288753278646e-12,2.42120162341784e-11)
551.2 (1.08173680542221e-10,3.64170884201973e-15,4.59957113898338e-12)
551.4 (-2.78271027662119e-11,2.36193686994771e-12,2.618544453729e-11)
551.6 (7.44288889624314e-11,8.87439691824638e-12,1.00156361784534e-10)
551.8 (-2.14515303419522e-10,-1.63981779290085e-11,-2.05935429458558e-10)
552 (2.07567739705514e-11,3.89533985919803e-12,4.90791373371628e-11)
552.2 (1.38317758204537e-10,-1.44973513678996e-11,-1.64159370881689e-10)
552.4 (-1.28750429029377e-10,-4.0065642419526e-13,-9.39546206862443e-12)
552.6 (-2.27155201880491e-11,1.56647769911535e-11,1.74614674650924e-10)
552.8 (1.23342868448671e-10,-8.26511807303767e-12,-8.84080035834876e-11)
553 (9.7957137967646e-11,1.71127026547774e-12,1.90508837002149e-11)
553.2 (-4.5239242760429e-11,-2.70046519964351e-12,-3.26947140069293e-11)
553.4 (-1.23895874106922e-10,3.73675262942027e-12,3.21161234338664e-11)
553.6 (1.64448972355469e-10,-3.01318910268738e-12,-2.28692940784487e-11)
553.8 (-9.60464322661791e-11,9.36152712713558e-12,9.5596152877717e-11)
554 (2.74760436343815e-10,-4.61014589894993e-12,-3.3870311471645e-11)
554.2 (-1.72400145083791e-10,-1.33202661282283e-12,-2.5922996938983e-11)
554.4 (-2.80067000633752e-11,1.12022607025138e-11,1.19766247108927e-10)
554.6 (-4.63735326343798e-11,-8.95210376441799e-12,-1.09475499739125e-10)
554.8 (3.6158724183805e-11,-1.62912000599177e-12,-1.68072445417845e-11)
